"search-number","evaluation","maxspeed*","A-prob-harvest*","B-prob-harvest*","nr-repeats*","movement*","A-trust_inequality*","B-trust_inequality*","A-sigma*","B-sigma*","A-sigma2*","B-sigma2*","A-timecrazy*","B-timecrazy*","A-adjustmentrate*","B-adjustmentrate*","A-adjustmentrate_harvest*","B-adjustmentrate_harvest*","shareA*","fitness","num-replicates","best-fitness-so-far"
"1","376","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","1.3000000000000002E-4","0.9299999999999999","0.64","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7847894636347011","1","0.8162913506311443"
"1","377","5","0.73","0.7","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.56","0.94","0.88","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7749497965049958","1","0.8162913506311443"
"1","378","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.55","0.94","0.91","150","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.8101891361223813","1","0.8162913506311443"
"1","379","5","0.6000000000000001","0.73","41","""cost-benefit""","2.3E-4","1.1E-4","0.86","0.59","0.94","0.91","149","194","0.61","0.3","0.7","0.98","0.35","0.7824568106284319","1","0.8162913506311443"
"1","380","5","0.69","0.5900000000000001","41","""cost-benefit""","6.2E-4","2.3E-4","0.7","0.56","0.94","0.96","149","193","0.61","0.97","0.9","0.9299999999999999","0.52","0.7822545222964898","1","0.8162913506311443"
"1","381","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.62","0.96","0.9199999999999999","189","156","0.84","0.49","0.9","0.9299999999999999","0.52","0.7791291958069877","1","0.8162913506311443"
"1","382","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.52","0.94","0.91","149","193","0.61","0.25","0.9299999999999999","0.98","0.42000000000000004","0.798311038711719","1","0.8162913506311443"
"1","383","5","0.74","0.8600000000000001","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.7","0.51","0.94","0.91","149","193","0.62","0.3","0.9299999999999999","0.65","0.42000000000000004","0.5466731664917277","1","0.8162913506311443"
"1","384","5","0.52","0.46","41","""cost-benefit""","6.000000000000001E-4","1.5000000000000001E-4","0.66","0.58","0.67","0.9199999999999999","149","193","0.66","0.25","0.9299999999999999","0.97","0.35","0.7832420358691313","1","0.8162913506311443"
"1","385","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.52","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.66","0.7674476668074657","1","0.8162913506311443"
"1","386","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.75","0.94","0.9","149","193","0.61","0.3","0.9299999999999999","0.98","0.35","0.7912867354308436","1","0.8162913506311443"
"1","387","5","0.53","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.78","0.56","0.94","0.91","195","159","0.41000000000000003","0.96","0.9","0.9299999999999999","0.5900000000000001","0.7166108063575547","1","0.8162913506311443"
"1","388","5","0.69","0.5900000000000001","41","""cost-benefit""","6.3E-4","2.3E-4","0.9299999999999999","0.56","0.94","0.96","149","193","0.61","0.97","0.8300000000000001","0.66","0.53","0.7474055344489241","1","0.8162913506311443"
"1","389","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.64","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7795675008470503","1","0.8162913506311443"
"1","390","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","1.0E-4","0.9299999999999999","0.52","0.94","0.91","149","193","0.61","0.25","0.9299999999999999","0.98","0.42000000000000004","0.7966529053652074","1","0.8162913506311443"
"1","391","5","0.91","0.46","41","""cost-benefit""","6.000000000000001E-4","1.5000000000000001E-4","0.7","0.56","0.94","0.96","149","193","0.02","0.97","0.9","0.9299999999999999","0.52","0.7001192889640836","1","0.8162913506311443"
"1","392","5","0.69","0.5900000000000001","41","""cost-benefit""","6.2E-4","2.3E-4","0.66","0.58","0.67","0.9199999999999999","150","193","0.67","0.25","0.9299999999999999","0.97","0.28","0.7841798667093632","1","0.8162913506311443"
"1","393","5","0.52","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.77","0.51","0.9299999999999999","0.91","172","208","0.15","0.96","0.8300000000000001","0.98","0.42000000000000004","0.6652752019949837","1","0.8162913506311443"
"1","394","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","1.3000000000000002E-4","0.9299999999999999","0.64","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.9","0.52","0.7229943108539567","1","0.8162913506311443"
"1","395","5","0.74","0.73","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.77","0.56","0.94","0.91","218","193","0.61","0.97","0.9299999999999999","0.98","0.42000000000000004","0.6301284593746959","1","0.8162913506311443"
"1","396","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","1.3000000000000002E-4","0.9299999999999999","0.64","0.94","0.91","148","193","0.62","0.3","0.94","0.98","0.43000000000000005","0.7728483271076534","1","0.8162913506311443"
"1","397","5","0.73","0.73","41","""cost-benefit""","1.1E-4","1.0E-4","0.9299999999999999","0.59","0.94","0.91","149","193","0.61","0.9400000000000001","0.9","0.9299999999999999","0.35","0.7939986345084535","1","0.8162913506311443"
"1","398","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.75","0.94","0.91","149","193","0.66","0.25","0.7","0.98","0.52","0.7011731504636288","1","0.8162913506311443"
"1","399","5","0.74","0.8700000000000001","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.77","0.56","0.94","0.9199999999999999","148","193","0.61","0.3","0.9299999999999999","0.98","0.43000000000000005","0.7773969796054785","1","0.8162913506311443"
"1","400","5","0.74","0.7","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.75","0.94","0.9","148","193","0.61","0.3","0.9299999999999999","0.98","0.32","0.8007938143395591","1","0.8162913506311443"
"1","401","5","0.74","0.73","41","""cost-benefit""","4.6E-4","3.7000000000000005E-4","0.77","0.99","0.96","0.71","217","155","0.84","0.45","0.74","0.9299999999999999","0.51","0.6519655417220334","1","0.8162913506311443"
"1","402","5","0.5900000000000001","0.46","41","""cost-benefit""","4.7000000000000004E-4","2.8000000000000003E-4","0.65","0.56","0.94","0.91","122","193","0.58","0.3","0.9299999999999999","0.99","0.43000000000000005","0.7352093263237115","1","0.8162913506311443"
"1","403","5","0.73","0.73","41","""cost-benefit""","9.600000000000001E-4","1.0E-4","0.9299999999999999","0.64","0.94","0.91","172","208","0.41000000000000003","0.96","0.8300000000000001","0.66","0.5","0.7236341050037817","1","0.8162913506311443"
"1","404","5","0.54","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.78","0.56","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7305810793401758","1","0.8162913506311443"
"1","405","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.55","0.94","0.9199999999999999","206","157","0.84","0.49","0.73","0.86","0.52","0.723097926027853","1","0.8162913506311443"
"1","406","5","0.74","0.5900000000000001","41","""cost-benefit""","5.700000000000001E-4","1.1E-4","0.77","0.59","0.99","0.91","150","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.807675042515126","1","0.8162913506311443"
"1","407","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.55","0.94","0.91","150","193","0.61","0.3","0.9299999999999999","0.98","0.35","0.8065979778886434","1","0.8162913506311443"
"1","408","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.75","0.94","0.9","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7941686280583578","1","0.8162913506311443"
